State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,true_churn,pred_churn_prob,highrisk_recall_threshold_0.5
NJ,57,510,Yes,No,0,115.0,65,19.55,122.3,96,10.4,245.0,75,11.03,6.4,1,1.73,0,1,0.5275445643852059,True
AR,109,510,No,No,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,3,0,0.5236256844404862,True
ME,174,415,No,No,0,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94,2,0,0.566813588409551,True
CO,92,415,No,No,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2,1,0.537745699535743,True
CT,119,408,No,No,0,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0,1,0.5925334496275746,True
SC,19,510,No,No,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,1,0.7904518573582677,True
MT,160,415,No,No,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3,0,0.768435075379412,True
IL,79,408,Yes,No,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2,0,0.7809318443559465,True
MT,49,408,No,No,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1,0,0.6777463713442087,True
VT,67,408,No,No,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6,0,0.9406071943572297,True
MS,102,510,Yes,No,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3,0,0.9788602329468229,True
MN,152,415,No,No,0,317.8,60,54.03,152.9,100,13.0,123.4,63,5.55,10.4,7,2.81,1,1,0.5299101972967721,True
WV,124,415,No,No,0,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,1,1,0.6292567298569296,True
NY,123,415,No,No,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4,1,0.6278910303726124,True
GA,64,510,No,No,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3,0,0.6355244667894957,True
NJ,96,510,No,No,0,150.0,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3,0,0.7291607965569199,True
ME,105,510,No,No,0,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3,0,0.7494433143771914,True
OH,115,510,Yes,No,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,1,0.9720970577932789,True
NY,148,408,No,No,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,0,0.5541061985686276,True
OK,86,510,Yes,No,0,162.4,131,27.61,167.0,102,14.2,128.9,118,5.8,11.4,2,3.08,2,1,0.863500943688893,True
MD,106,415,No,No,0,208.3,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,4.29,3,0,0.6260416804006306,True
AR,145,415,No,No,0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1,1,0.662941541120607,True
KY,73,510,No,No,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,2,0,0.5052378034225579,True
NH,125,415,Yes,No,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0,1,0.9547381746092964,True
MD,116,510,Yes,Yes,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1,0,0.6960071389120324,True
ND,147,408,Yes,Yes,35,157.5,109,26.78,189.6,67,16.12,227.0,76,10.22,11.1,2,3.0,3,1,0.8506668858575015,True
UT,134,415,No,No,0,258.8,85,44.0,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0,0.5481844849126174,True
NH,141,415,No,Yes,32,322.4,92,54.81,283.2,107,24.07,209.5,111,9.43,6.7,3,1.81,1,1,0.6839454464974094,True
MT,63,415,No,Yes,33,184.2,111,31.31,312.6,89,26.57,264.0,55,11.88,12.2,4,3.29,1,0,0.626853960756576,True
KY,105,415,No,Yes,24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3,0,0.6787470152445843,True
DC,68,415,Yes,Yes,39,142.0,140,24.14,241.6,89,20.54,302.0,72,13.59,11.3,5,3.05,1,0,0.7937074254567714,True
KS,91,408,Yes,No,0,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2,1,0.9573885296344126,True
NC,101,415,No,No,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,5,0,0.8545144939497799,True
SC,116,408,No,No,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,1,0.8292137198037179,True
FL,108,510,No,No,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,0,0.7050790227820756,True
OH,69,415,No,No,0,227.0,122,38.59,258.7,111,21.99,169.7,87,7.64,8.9,1,2.4,2,0,0.6961832254658304,True
NJ,88,415,No,No,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,1,0.9753609438068875,True
VA,50,415,Yes,No,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,1,0.6725403812278561,True
NM,188,415,Yes,Yes,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1,1,0.6288791202081577,True
FL,85,408,Yes,No,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3,0,0.8886517701445136,True
RI,103,510,Yes,No,0,255.9,128,43.5,140.9,92,11.98,308.9,130,13.9,12.1,2,3.27,1,1,0.8941576739016541,True
NJ,136,408,No,Yes,27,187.7,84,31.91,221.0,147,18.79,145.7,110,6.56,10.0,4,2.7,3,0,0.5250353181493865,True
SC,152,408,No,No,0,140.5,92,23.89,186.8,96,15.88,227.0,89,10.22,9.5,5,2.57,2,0,0.5129637524510224,True
MS,65,415,Yes,No,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0,1,0.916505586485428,True
ND,180,415,No,No,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3,1,0.6997020012294108,True
IA,44,415,No,No,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,1,0.8207010856629052,True
ME,25,510,No,No,0,242.6,69,41.24,209.0,117,17.77,219.7,82,9.89,14.4,6,3.89,2,0,0.7335337941615635,True
OR,64,510,No,No,0,213.5,93,36.3,166.6,114,14.16,122.0,78,5.49,14.1,3,3.81,3,0,0.5857702652021369,True
MN,125,415,Yes,Yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,1,0.8911623276992455,True
OK,160,408,No,No,0,166.4,117,28.29,317.0,129,26.95,160.4,121,7.22,10.0,2,2.7,1,0,0.5230969551922223,True
RI,36,415,No,No,0,235.1,97,39.97,196.8,104,16.73,259.7,110,11.69,7.0,7,1.89,3,0,0.5289634321448788,True
IL,138,408,Yes,No,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,11.6,4,3.13,1,0,0.8395912732275964,True
MI,74,415,No,No,0,314.1,86,53.4,222.4,99,18.9,259.0,121,11.66,12.3,5,3.32,3,1,0.9353864009900054,True
MA,145,415,No,No,0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1,0,0.5544153413711191,True
WI,66,415,Yes,No,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,8.3,3,2.24,3,0,0.9302971999840017,True
HI,101,415,No,No,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,9.7,7,2.62,4,0,0.6706291386360073,True
MI,132,408,No,No,0,291.2,104,49.5,234.2,132,19.91,191.7,87,8.63,8.9,3,2.4,1,1,0.7516255888978888,True
PA,92,415,Yes,No,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,11.7,3,3.16,0,0,0.8750587856414804,True
NJ,127,510,No,No,0,245.2,91,41.68,217.2,92,18.46,243.1,128,10.94,13.9,6,3.75,0,1,0.5776377893863092,True
NC,130,408,Yes,No,0,216.2,106,36.75,363.7,86,30.91,126.7,123,5.7,16.9,2,4.56,5,1,0.9966692756240076,True
MS,145,510,Yes,Yes,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3.0,1,0,0.7755727739676848,True
TX,90,415,Yes,Yes,26,169.0,104,28.73,188.8,104,16.05,213.3,76,9.6,13.3,3,3.59,0,1,0.681852804020086,True
CO,107,415,No,No,0,204.5,108,34.77,162.4,110,13.8,155.0,102,6.98,13.4,1,3.62,3,0,0.6492623075929508,True
MD,147,408,No,No,0,274.0,92,46.58,231.8,82,19.7,283.6,83,12.76,6.2,1,1.67,0,1,0.578116937164627,True
SC,107,415,No,No,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0,0,0.5147918478799214,True
OK,35,415,No,No,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,0,0.5331292074020674,True
IL,137,408,Yes,No,0,237.3,103,40.34,176.7,84,15.02,263.4,81,11.85,14.2,4,3.83,0,1,0.7571866834033749,True
VA,146,415,Yes,No,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1,0,0.6111844173571326,True
ME,62,415,Yes,Yes,32,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0,1,0.820701047152516,True
IN,77,408,No,No,0,185.9,95,31.6,212.0,98,18.02,282.3,81,12.7,11.3,4,3.05,3,0,0.611247961953002,True
SC,109,415,No,No,0,222.5,74,37.83,169.7,75,14.42,264.3,94,11.89,9.0,3,2.43,2,0,0.7389526954844254,True
IN,108,415,No,No,0,201.1,101,34.19,170.7,86,14.51,237.4,113,10.68,11.6,3,3.13,3,0,0.5686762469022262,True
MN,38,510,No,No,0,175.7,109,29.87,211.8,97,18.0,137.9,109,6.21,9.2,3,2.48,5,1,0.7910049243650837,True
AR,109,415,No,Yes,29,111.2,90,18.9,263.5,98,22.4,224.7,128,10.11,9.0,6,2.43,6,1,0.6065746784459404,True
MT,137,408,Yes,No,0,258.0,112,43.86,246.5,117,20.95,173.2,100,7.79,10.9,3,2.94,0,1,0.9658554994413692,True
WV,70,415,No,No,0,214.8,87,36.52,131.0,114,11.14,216.9,104,9.76,9.4,3,2.54,3,0,0.5087852208865236,True
SD,52,510,Yes,No,0,251.4,118,42.74,196.6,80,16.71,192.0,53,8.64,11.0,2,2.97,0,1,0.899232086430081,True
MS,38,415,No,No,0,117.3,114,19.94,208.7,105,17.74,203.4,98,9.15,14.4,2,3.89,2,0,0.507236228818409,True
NY,104,415,No,No,0,264.0,108,44.88,132.2,75,11.24,177.7,91,8.0,10.6,8,2.86,3,0,0.7128908452971098,True
MA,13,408,No,No,0,220.4,100,37.47,211.2,79,17.95,259.3,112,11.67,13.6,8,3.67,2,0,0.6676832600808117,True
NM,147,408,Yes,No,0,183.8,113,31.25,164.7,110,14.0,111.0,87,5.0,10.1,4,2.73,1,0,0.6702966050367946,True
MI,87,415,No,No,0,198.3,80,33.71,187.0,89,15.9,133.5,96,6.01,16.6,4,4.48,2,0,0.5474600379886168,True
AL,89,510,No,No,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5,1,0.5375237722028019,True
MS,123,415,Yes,No,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,1,0.9361449177478983,True
MS,130,510,No,Yes,26,257.2,108,43.72,224.3,122,19.07,204.0,118,9.18,12.6,4,3.4,1,0,0.524133284644449,True
WV,139,415,No,No,0,271.6,130,46.17,156.0,131,13.26,136.3,108,6.13,11.6,9,3.13,2,0,0.5155286140961828,True
AL,19,415,Yes,No,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,4.5,4,1.22,0,0,0.6363718569374256,True
ID,119,415,Yes,Yes,32,173.0,101,29.41,209.4,93,17.8,231.1,91,10.4,12.2,4,3.29,0,0,0.5975786893412147,True
NH,101,510,No,No,0,220.3,124,37.45,188.6,101,16.03,278.4,98,12.53,10.6,4,2.86,1,0,0.5159111846704446,True
CA,75,415,No,Yes,19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4,0,0.8296940092807082,True
MA,17,415,Yes,No,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0,1,0.881687292478412,True
NC,125,408,No,No,0,212.3,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2,0,0.556822042041814,True
NV,124,415,No,No,0,234.4,61,39.85,179.3,111,15.24,285.5,117,12.85,10.4,6,2.81,3,0,0.7653256864533015,True
MI,178,408,Yes,No,0,124.5,134,21.17,141.2,78,12.0,268.2,113,12.07,11.4,2,3.08,2,1,0.8759605215453988,True
UT,170,415,No,No,0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,1,1,0.6094439611910163,True
CT,93,415,No,No,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1,1,0.5700874613621107,True
CT,37,408,No,No,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,0,0.6817474113498516,True
DE,97,415,No,Yes,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5,0,0.7271829680803703,True
OH,136,408,Yes,No,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2,0,0.835570680760946,True
NV,148,415,No,No,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,1,0.8197056195916163,True
NM,127,415,Yes,No,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13.0,3,3.51,1,0,0.9096041585344967,True
WY,58,510,No,No,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4,0,0.8060001372914747,True
MA,58,408,No,No,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0.0,0,0.0,4,0,0.7697605060732259,True
NY,168,408,No,No,0,163.4,134,27.78,240.1,87,20.41,164.0,147,7.38,11.6,2,3.13,2,1,0.5835052038963768,True
AK,71,510,No,No,0,185.0,84,31.45,232.5,129,19.76,191.1,82,8.6,14.9,4,4.02,3,0,0.5123497930028669,True
KS,68,415,No,No,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,10.9,6,2.94,2,0,0.5849703631086323,True
IL,98,510,Yes,No,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1,0,0.5391730902974219,True
SC,112,415,No,Yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4,0,0.9192382806452547,True
GA,117,415,Yes,No,0,287.4,118,48.86,259.6,84,22.07,153.2,86,6.89,10.0,3,2.7,1,1,0.9603030026219432,True
KY,56,415,Yes,No,0,177.7,114,30.21,215.6,110,18.33,236.7,67,10.65,10.5,5,2.84,1,0,0.8348037798097873,True
WY,123,415,No,No,0,242.2,87,41.17,226.1,101,19.22,268.6,121,12.09,8.2,3,2.21,5,1,0.9008326303342948,True
NY,125,415,No,No,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1,0,0.5055986611473389,True
TX,1,415,No,No,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10.0,3,2.7,5,1,0.8337114708031927,True
KY,98,415,No,Yes,36,168.0,81,28.56,163.2,125,13.87,172.7,120,7.77,8.0,2,2.16,6,1,0.681301514546515,True
OR,99,408,No,No,0,256.4,44,43.59,214.5,105,18.23,233.7,75,10.52,7.9,1,2.13,3,1,0.7852941938687701,True
CT,160,415,No,No,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,1,0.7598115699290655,True
MI,148,415,Yes,No,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0,1,0.8235628658933363,True
AR,122,415,Yes,No,0,146.3,117,24.87,218.7,93,18.59,236.0,97,10.62,11.5,5,3.11,1,0,0.7805613589506474,True
HI,99,408,No,No,0,135.7,107,23.07,208.4,103,17.71,209.0,95,9.4,8.8,3,2.38,7,1,0.7803108049204177,True
KS,84,415,No,No,0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3,1,0.8631048864378309,True
IN,7,415,No,No,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,0,0.625034854354717,True
NY,131,408,Yes,No,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3,1,0.861693776846543,True
VA,105,415,No,No,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,12.0,5,3.24,3,0,0.5423408172945003,True
NJ,87,510,No,No,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,14.5,4,3.92,3,0,0.8297051811831773,True
WA,177,415,No,No,0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3,1,0.8622007281504479,True
OH,66,415,No,No,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2,0,0.518618298499481,True
VA,133,408,No,Yes,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,6.7,3,1.81,5,0,0.6416986743723735,True
AL,141,408,No,No,0,242.8,90,41.28,234.1,80,19.9,211.5,104,9.52,6.0,3,1.62,5,0,0.8482326826679191,True
TX,169,408,No,No,0,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3,1,0.9281030336877687,True
MT,103,510,No,Yes,35,110.5,101,18.79,208.3,81,17.71,87.4,77,3.93,13.9,2,3.75,4,1,0.5529077977546838,True
NE,78,510,No,Yes,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6,0,0.8051478977811755,True
WV,101,415,No,Yes,28,220.3,96,37.45,285.8,72,24.29,203.0,111,9.14,9.4,6,2.54,4,0,0.6504474398597695,True
MI,37,415,No,No,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,14.0,5,3.78,3,0,0.6768944280736839,True
ME,88,415,No,No,0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4,1,0.604927535917904,True
TX,112,415,No,No,0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3,0,0.7977711839458083,True
MN,57,415,No,No,0,272.7,74,46.36,224.9,85,19.12,178.2,104,8.02,10.5,3,2.84,2,1,0.7341661526602515,True
MI,147,415,No,No,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3,0,0.6337962980410372,True
SC,101,415,No,No,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4,1,0.8516071158243175,True
MS,115,415,No,No,0,166.5,111,28.31,236.2,98,20.08,205.6,92,9.25,15.6,2,4.21,1,0,0.5987214222216956,True
MS,103,415,No,No,0,129.3,103,21.98,202.8,89,17.24,233.0,126,10.49,12.9,2,3.48,2,0,0.5377841838320269,True
LA,94,415,No,No,0,212.1,98,36.06,189.4,89,16.1,352.2,95,15.85,8.4,5,2.27,3,0,0.707763633302498,True
MA,122,408,No,Yes,29,195.4,83,33.22,268.2,93,22.8,168.0,95,7.56,8.4,6,2.27,3,0,0.5039965622817271,True
MD,154,510,No,No,0,154.5,122,26.27,214.2,71,18.21,178.0,105,8.01,12.0,2,3.24,3,1,0.6045221247279318,True
TX,75,415,No,No,0,305.1,106,51.87,188.0,115,15.98,235.4,116,10.59,8.5,5,2.3,0,1,0.668621353187502,True
WV,88,510,No,No,0,131.5,99,22.36,174.8,128,14.86,184.2,83,8.29,7.9,2,2.13,5,1,0.5931331775568477,True
NY,204,415,No,No,0,174.3,85,29.63,254.1,95,21.6,176.4,96,7.94,5.9,3,1.59,6,0,0.9255816862771197,True
MS,190,415,Yes,No,0,111.9,55,19.02,223.0,124,18.96,243.2,81,10.94,10.0,7,2.7,3,0,0.9364680270993244,True
NY,54,510,Yes,No,0,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,11.2,8,3.02,3,0,0.9539576257566813,True
SD,27,510,No,No,0,226.3,95,38.47,274.3,109,23.32,242.7,119,10.92,8.2,3,2.21,2,1,0.7407124272753332,True
CO,118,415,No,Yes,36,294.9,106,50.13,165.7,115,14.08,189.2,63,8.51,9.8,5,2.65,3,0,0.6937313567369369,True
DE,115,415,No,No,0,195.9,111,33.3,227.0,108,19.3,313.2,113,14.09,13.2,1,3.56,2,0,0.7049564902444526,True
AR,115,415,No,No,0,139.3,89,23.68,192.3,95,16.35,151.0,75,6.8,9.3,3,2.51,7,1,0.8512911962234381,True
HI,108,415,No,No,0,291.6,99,49.57,221.1,93,18.79,229.2,110,10.31,14.0,9,3.78,2,1,0.5758594695774089,True
WV,102,408,No,No,0,234.8,125,39.92,199.2,99,16.93,163.2,88,7.34,10.0,1,2.7,4,0,0.8168449032924987,True
VT,107,510,No,No,0,189.7,76,32.25,156.1,65,13.27,244.0,91,10.98,8.3,3,2.24,5,0,0.6605951655304311,True
NC,161,415,No,No,0,322.3,100,54.79,230.4,135,19.58,241.5,104,10.87,7.8,5,2.11,2,1,0.8333873001795272,True
SC,104,415,No,No,0,109.1,141,18.55,187.1,140,15.9,216.6,100,9.75,10.0,4,2.7,3,0,0.6227763161924017,True
NH,35,408,No,No,0,138.1,115,23.48,158.2,82,13.45,215.7,118,9.71,10.3,2,2.78,5,1,0.7322658916747411,True
LA,62,415,No,No,0,186.8,94,31.76,207.6,92,17.65,195.0,98,8.78,8.8,4,2.38,3,0,0.5318004997257366,True
MS,143,510,No,No,0,155.4,112,26.42,290.9,92,24.73,228.4,91,10.28,13.9,5,3.75,1,0,0.6006017482283625,True
WA,60,415,Yes,No,0,205.9,97,35.0,277.4,117,23.58,202.0,139,9.09,11.0,2,2.97,0,1,0.9158378875550989,True
SC,41,510,No,No,0,207.2,138,35.22,214.1,83,18.2,193.0,105,8.69,11.9,4,3.21,1,0,0.6233937632864748,True
ME,56,408,No,No,0,221.9,112,37.72,278.2,122,23.65,288.1,85,12.96,7.1,5,1.92,0,1,0.5360118138209484,True
AR,127,415,Yes,No,0,143.2,60,24.34,179.5,159,15.26,171.8,122,7.73,6.2,4,1.67,4,1,0.8952248945996764,True
NV,148,510,No,No,0,216.2,95,36.75,185.7,105,15.78,300.0,143,13.5,10.0,5,2.7,2,0,0.6326973482524363,True
MI,52,415,No,No,0,204.4,97,34.75,273.2,128,23.22,179.6,118,8.08,11.0,5,2.97,1,0,0.5261116598563211,True
AR,54,415,No,No,0,247.5,85,42.08,225.4,93,19.16,244.3,132,10.99,10.2,2,2.75,2,1,0.6628967116627185,True
TX,201,415,No,No,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1,1,0.8206450750741792,True
WY,41,510,No,No,0,223.8,67,38.05,244.8,74,20.81,223.8,156,10.07,12.3,5,3.32,3,0,0.6382234090969005,True
OR,133,415,No,No,0,143.8,71,24.45,184.0,131,15.64,275.5,132,12.4,12.9,4,3.48,3,0,0.5265998132686742,True
DE,121,408,No,No,0,215.6,74,36.65,192.9,98,16.4,144.0,103,6.48,10.1,4,2.73,5,0,0.8225312289285642,True
ND,148,415,Yes,No,0,218.7,111,37.18,155.6,133,13.23,277.4,62,12.48,8.2,5,2.21,1,0,0.8461930533797142,True
WA,76,510,Yes,No,0,246.8,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,3.56,0,1,0.9089920119745365,True
ID,103,415,No,No,0,174.7,151,29.7,148.0,56,12.58,168.2,109,7.57,15.8,3,4.27,6,1,0.8928650557250485,True
WA,143,510,No,No,0,160.4,120,27.27,285.9,104,24.3,182.5,85,8.21,6.9,4,1.86,3,0,0.7120882635202788,True
MS,111,408,No,No,0,294.7,90,50.1,294.6,72,25.04,260.1,121,11.7,10.8,3,2.92,1,1,0.8951020695676439,True
OH,68,415,Yes,Yes,24,125.7,92,21.37,275.9,98,23.45,214.5,108,9.65,14.2,6,3.83,3,1,0.8449027430806656,True
TN,93,510,Yes,No,0,168.4,114,28.63,276.0,127,23.46,196.2,48,8.83,11.4,3,3.08,1,0,0.8109456783511683,True
OK,149,510,Yes,No,0,180.9,79,30.75,194.9,83,16.57,197.8,109,8.9,8.8,9,2.38,3,0,0.918066126856322,True
UT,61,415,Yes,Yes,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,11.7,6,3.16,3,0,0.7832628243340366,True
IN,115,415,No,No,0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,1,0.7725551683696247,True
AR,33,408,No,No,0,251.9,81,42.82,194.6,96,16.54,211.2,87,9.5,8.4,3,2.27,2,0,0.5501562162691366,True
ME,100,510,No,No,0,264.5,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2,1,0.779009184121588,True
MI,142,415,Yes,No,0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1,0,0.811048579212167,True
WA,121,510,No,No,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3,1,0.8873199156739708,True
AK,177,415,Yes,No,0,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,1,0.8535758665898213,True
AR,113,415,Yes,No,0,122.2,112,20.77,131.7,94,11.19,169.5,106,7.63,10.3,9,2.78,5,1,0.8970113334193093,True
OH,88,408,No,No,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2,0,0.654249602263763,True
RI,138,510,Yes,No,0,286.2,61,48.65,187.2,60,15.91,146.2,114,6.58,11.0,4,2.97,2,1,0.9159580687175201,True
AR,115,408,No,No,0,268.0,115,45.56,153.6,106,13.06,232.3,65,10.45,17.0,1,4.59,3,0,0.8494884214338314,True
NY,171,415,No,No,0,137.5,110,23.38,198.1,109,16.84,292.7,131,13.17,13.3,5,3.59,2,0,0.5231111947609627,True
ID,82,415,No,No,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11.0,6,2.97,3,1,0.8381066596950051,True
WV,117,510,Yes,No,0,198.4,121,33.73,249.5,104,21.21,162.8,115,7.33,10.5,5,2.84,1,0,0.8503332403730398,True
IN,131,408,No,No,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,14.7,8,3.97,3,0,0.7410520972517094,True
NJ,139,415,No,Yes,43,231.0,85,39.27,222.3,82,18.9,148.0,105,6.66,8.3,5,2.24,2,0,0.5893105020757915,True
AR,76,408,No,No,0,107.3,140,18.24,238.2,133,20.25,271.8,116,12.23,10.0,3,2.7,4,1,0.6324010303700521,True
DC,99,415,No,Yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,3,0,0.5317974178092381,True
KS,170,415,No,Yes,42,199.5,119,33.92,135.0,90,11.48,184.6,49,8.31,10.9,3,2.94,4,1,0.6484469575327215,True
LA,75,510,Yes,No,0,153.2,78,26.04,210.8,99,17.92,153.5,100,6.91,7.8,3,2.11,1,0,0.667526111188612,True
IL,71,510,Yes,No,0,186.1,114,31.64,198.6,140,16.88,206.5,80,9.29,13.8,5,3.73,4,1,0.9404654569276882,True
OK,172,408,No,No,0,203.9,109,34.66,234.0,123,19.89,160.7,65,7.23,17.8,4,4.81,4,0,0.8991556661626128,True
